id,type,category,work,difficulty,question,createdAt
cmmv8x0bf001fqhyfbcv5y8sz,SHORT_ANSWER,HISTORICAL_LITERARY,Konrad Wallenrod,3,"Wyjasnij, dlaczego Aldona zamknela sie w wiezy przy zamku w Malborku. Jakie byly jej motywacje?",2026-03-17 23:30:49.948
cmmv8x0bd001eqhyf0gm5jlfg,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Konrad Wallenrod,3,"Ktore z ponizszych stwierdzen o kompozycji ""Konrada Wallenroda"" sa prawdziwe?",2026-03-17 23:30:49.945
cmmv8x0bb001dqhyfpgwrur09,CLOSED_SINGLE,HISTORICAL_LITERARY,Konrad Wallenrod,3,Jaki zarzut stawia tajny trybunal Konradowi Wallenrodowi?,2026-03-17 23:30:49.943
cmmv8x0b8001cqhyf1nl08shh,CLOSED_SINGLE,HISTORICAL_LITERARY,Konrad Wallenrod,3,Jak Konrad sabotuje wojne z Litwa bedac wielkim mistrzem?,2026-03-17 23:30:49.941
cmmv8x0b6001bqhyfh1qf23oj,CLOSED_SINGLE,HISTORICAL_LITERARY,Konrad Wallenrod,3,Dlaczego Witold zrywa sojusz z Zakonem po uczcie?,2026-03-17 23:30:49.938
cmmv8x0b4001aqhyfjj4vrlu6,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Konrad Wallenrod,2,Co wpllynelo na Waltera Alfa w dzieciństwie u Krzyzakow i podtrzymalo jego litewska tozsamosc?,2026-03-17 23:30:49.936
cmmv8x0b10019qhyffvzexyx1,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Konrad Wallenrod,2,Ktore elementy sluza budowaniu tajemniczosci bohatera?,2026-03-17 23:30:49.934
cmmv8x0az0018qhyfcfafg8m4,CLOSED_SINGLE,HISTORICAL_LITERARY,Konrad Wallenrod,2,O czym opowiada Powieść Wajdeloty (historia Waltera Alfa)?,2026-03-17 23:30:49.932
cmmv8x0ax0017qhyflhq71mbq,CLOSED_SINGLE,HISTORICAL_LITERARY,Konrad Wallenrod,2,Jaka wade ma Konrad Wallenrod wedlug Krzyzakow?,2026-03-17 23:30:49.93
cmmv8x0av0016qhyfmjx0v77c,CLOSED_SINGLE,HISTORICAL_LITERARY,Konrad Wallenrod,2,W jakim celu Walter Alf pojechal z zona Aldona do klasztoru zakonnic?,2026-03-17 23:30:49.928
cmmv8x0at0015qhyfqai9mjg9,CLOSED_SINGLE,HISTORICAL_LITERARY,Konrad Wallenrod,2,Czego dotyczy piesn Halbana o Wiliji?,2026-03-17 23:30:49.925
cmmv8x0ar0014qhyfu0dxfq6d,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Konrad Wallenrod,1,Ktore z ponizszych stwierdzen o genezie utworu sa prawdziwe?,2026-03-17 23:30:49.923
cmmv8x0ao0013qhyfze7u47dc,CLOSED_MULTIPLE,HISTORICAL_LITERARY,Konrad Wallenrod,1,"Ktore rzeki i miejsca pojawiaja sie w ""Konradzie Wallenrodzie""?",2026-03-17 23:30:49.921
cmmv8x0al0012qhyf4hsulbew,CLOSED_SINGLE,HISTORICAL_LITERARY,Konrad Wallenrod,1,Co to jest wajdelota?,2026-03-17 23:30:49.917
cmmv8x0aj0011qhyfjs6onoj2,CLOSED_SINGLE,HISTORICAL_LITERARY,Konrad Wallenrod,1,Z ktorym narodem walczy Zakon Krzyzacki w utworze?,2026-03-17 23:30:49.915
cmmv8x0ah0010qhyf27rvcaie,CLOSED_SINGLE,HISTORICAL_LITERARY,Konrad Wallenrod,1,Jakie stanowisko obejmuje Konrad Wallenrod w Zakonie Krzyzackim?,2026-03-17 23:30:49.913
