id,type,category,epoch,difficulty,points,question,content,correctAnswer,rubric,tags,metadata,createdAt,updatedAt,work
cmiip010a000eqh7mz66yyic8,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,3,2,Który filozof mistyczny wpłynął na koncepcję 'natury Boga' atakowanej przez Konrada?,"{""options"": [""Immanuel Kant"", ""Jakub Boehme"", ""Baruch Spinoza"", ""Gottfried Leibniz""]}",1,,{},"{""explanation"": ""Jakub Boehme rozróżniał Boga (Ungrund) od Jego 'wiecznej natury' - Konrad atakuje właśnie tę naturę ('Strzelę przeciw Twej naturze'), nie samego Boga.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010b000fqh7mgxia6tw8,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,3,2,"Co oznacza termin 'Ungrund' w teozofii Boehmego, do której nawiązuje Wielka Improwizacja?","{""options"": [""grzech pierworodny"", ""bezdeń, otchłań poprzedzająca stworzenie"", ""natura ludzka"", ""harmonia wszechświata""]}",1,,{},"{""explanation"": ""Ungrund (Bezdeń) to w teozofii Boehmego pierwotna otchłań, z której wyłania się zarówno Bóg, jak i siły ciemności - wspólne źródło dobra i zła.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010b000gqh7mno8kb9ci,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,3,2,"Który romantyczny filozof rozwinął koncepcję poety-demiurga, obecną w Wielkiej Improwizacji?","{""options"": [""Hegel"", ""Schelling"", ""Fichte"", ""Schopenhauer""]}",1,,{},"{""explanation"": ""Friedrich Schelling rozwinął romantyczną filozofię sztuki, w której poeta jest demiurgiem - twórcą światów analogicznym do Boga-Stwórcy.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010b000hqh7molry4ts9,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,3,2,"Słowa Konrada 'Stamtąd przyszły siły moje, skąd do Ciebie przyszły Twoje' nawiązują do jakiej koncepcji?","{""options"": [""panteizmu Spinozy"", ""wspólnego źródła sił Boga i człowieka (Boehme)"", ""dualizmu kartezjańskiego"", ""idei platońskich""]}",1,,{},"{""explanation"": ""Według Boehmego siły człowieka i Boga mają wspólne źródło w Bezdni (Ungrund) - Konrad powołuje się na tę równość pochodzenia.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010b000iqh7mzjf97vtl,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,3,2,Co Zofia Stefanowska rozumiała przez 'figurę' w interpretacji mesjanizmu?,"{""options"": [""metaforę poetycką"", ""sposób przedstawiania jednej realności historycznej przez drugą"", ""postać literacką"", ""symbol religijny""]}",1,,{},"{""explanation"": ""Figura (za Auerbachem) to sposób przedstawiania, gdzie obie rzeczywistości są historyczne - męka Chrystusa jest figurą cierpienia Polski.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010b000jqh7m8h9uw9n3,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,3,2,Dlaczego według Stefanowskiej postać Chrystusa w 'Księgach narodu' została zsekularyzowana?,"{""options"": [""z powodu ateizmu Mickiewicza"", ""by mogła być figurą losu Polski"", ""dla uniknięcia cenzury"", ""pod wpływem oświecenia""]}",1,,{},"{""explanation"": ""Chrystus jako reformator (nie Zbawiciel) mógł być figurą Polski - zsekularyzowany, by wszystko mogło 'wypełnić się w losie Polski'.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmiip010c000kqh7m6ok6kv5g,CLOSED_SINGLE,HISTORICAL_LITERARY,ROMANTICISM,3,2,Jak Maria Janion określiła funkcję mesjanizmu w polskiej kulturze?,"{""options"": [""jako wyraz nacjonalizmu"", ""jako kompensacyjną odpowiedź na traumę historyczną"", ""jako kontynuację średniowiecza"", ""jako wpływ literatury francuskiej""]}",1,,{},"{""explanation"": ""Janion analizowała mesjanizm przez pryzmat psychoanalizy - jako kompensację traumy, próbę przezwyciężenia 'kompleksu winy' i poczucia niższości.""}",2025-11-28 10:01:15.031,2025-11-28 10:01:15.031,Dziady cz. III
cmhyzclol0003qh6eh1rmricr,CLOSED_SINGLE,HISTORICAL_LITERARY,POSITIVISM,1,1,W jakim mieście toczy się akcja powieści?,"{""options"": [""Moskwa"", ""Petersburg"", ""Kijów"", ""Odessa""]}",1,,{},"{""explanation"": ""Akcja powieści toczy się w Petersburgu - stolicy Rosji carskiej, mieście kontrastów między bogactwem a nędzą.""}",2025-11-14 14:55:34.341,2025-11-14 14:55:34.341,Zbrodnia i kara
cmhyzclol0004qh6eo9l0xagg,CLOSED_SINGLE,HISTORICAL_LITERARY,POSITIVISM,1,1,Jak ma na imię główny bohater powieści?,"{""options"": [""Piotr Raskolnikow"", ""Rodion Raskolnikow"", ""Dmitrij Raskolnikow"", ""Aleksiej Raskolnikow""]}",1,,{},"{""explanation"": ""Głównym bohaterem jest Rodion Romanowicz Raskolnikow - były student prawa mieszkający w Petersburgu.""}",2025-11-14 14:55:34.341,2025-11-14 14:55:34.341,Zbrodnia i kara
cmhyzclom0009qh6egqd789oa,CLOSED_SINGLE,HISTORICAL_LITERARY,POSITIVISM,1,1,Kim jest Porfiry Pietrowicz?,"{""options"": [""Lekarz Raskolnikowa"", ""Śledczy prowadzący sprawę morderstwa"", ""Przyjaciel Raskolnikowa"", ""Mąż Duni""]}",1,,{},"{""explanation"": ""Porfiry Pietrowicz to komisarz śledczy prowadzący sprawę zabójstwa lichwiarki, który psychologicznie rozgrywa Raskolnikowa.""}",2025-11-14 14:55:34.341,2025-11-14 14:55:34.341,Zbrodnia i kara
